nim,kode_matkul
2411501010,TIO3012
2411501010,TIO3013
2411501010,UAY0003
2411501010,UAY0009
2411501010,TIO4014
2411501010,TIO4015
2411501010,TIO4016
2411501010,TIO4017
2411501010,TIO4018
2411501010,UAY0004
2411501010,UAY0010
2411501011,TIO3010
2411501011,TIO3011
2411501011,TIO3012
2411501011,TIO3013
2411501011,UAY0003
2411501011,UAY0009
2411501011,TIO4014
2411501011,TIO4015
2411501011,TIO4016
2411501011,TIO4017
2411501011,TIO4018
2411501011,UAY0004
2411501011,UAY0010
2411501012,TIO3010
2411501012,TIO3011
2411501012,TIO3012
2411501012,TIO3013
2411501012,UAY0003
2411501012,UAY0009
2411501012,TIO4014
2411501012,TIO4015
2411501012,TIO4016
2411501012,TIO4017
2411501012,TIO4018
2411501012,UAY0004
2411501012,UAY0010
2411501013,TIO3010
2411501013,TIO3011
2411501013,TIO3012
2411501013,TIO3013
2411501013,UAY0003
2411501013,UAY0009
2411501013,TIO4014
2411501013,TIO4015
2411501013,TIO4016
2411501013,TIO4017
2411501013,TIO4018
2411501013,UAY0004
2411501013,UAY0010
2411501014,TIO3010
2411501014,TIO3011
2411501014,TIO3012
2411501014,TIO3013
2411501014,UAY0003
2411501014,UAY0009
2411501014,TIO4014
2411501014,TIO4015
